               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.015133,           0.0063602,           0.0010131,             0.98971,              0.9288,             0.97821,             0.77329,            0.015254,           0.0042787,          0.00089584,           0.0035484,           0.0035484,           0.0035484
                  73,            0.015604,           0.0067606,           0.0010005,              0.9903,             0.93207,             0.98205,             0.77611,            0.015356,           0.0040794,          0.00092943,           0.0034503,           0.0034503,           0.0034503
                  74,            0.015456,            0.006639,          0.00090866,             0.97494,              0.9342,             0.96756,              0.7509,            0.015275,           0.0041291,          0.00094417,           0.0033548,           0.0033548,           0.0033548
                  75,            0.015315,           0.0063996,           0.0010341,              0.9939,             0.93176,             0.97081,             0.75659,            0.015293,            0.004199,           0.0009249,           0.0032618,           0.0032618,           0.0032618
                  76,            0.015216,           0.0060091,          0.00090279,             0.99151,             0.92901,             0.97569,             0.75651,            0.015377,           0.0042034,          0.00094538,           0.0031716,           0.0031716,           0.0031716
                  77,            0.014899,           0.0062769,          0.00079793,             0.99328,             0.92326,             0.98197,             0.77957,             0.01534,           0.0041473,          0.00096928,           0.0030841,           0.0030841,           0.0030841
                  78,            0.015014,           0.0062593,          0.00086473,             0.98028,             0.93102,             0.97755,              0.7949,            0.014417,           0.0041532,          0.00091468,           0.0029996,           0.0029996,           0.0029996
                  79,            0.014326,           0.0061983,          0.00079788,              0.9851,             0.93446,               0.973,             0.78308,            0.014874,           0.0040545,          0.00092545,           0.0029179,           0.0029179,           0.0029179
                  80,            0.014584,           0.0062989,          0.00085315,             0.99352,             0.92916,             0.97624,             0.77637,            0.014518,           0.0040683,           0.0010303,           0.0028394,           0.0028394,           0.0028394
                  81,            0.013993,           0.0064404,          0.00076367,             0.98287,             0.92795,             0.96513,             0.78466,            0.014242,           0.0040894,          0.00099043,           0.0027639,           0.0027639,           0.0027639
                  82,            0.014034,           0.0059622,          0.00072544,             0.97817,             0.92408,             0.97306,             0.77369,            0.015024,           0.0040719,          0.00096846,           0.0026917,           0.0026917,           0.0026917
                  83,            0.013836,           0.0061557,          0.00077801,             0.99006,             0.92408,             0.97114,             0.78548,            0.014789,            0.004166,           0.0010338,           0.0026227,           0.0026227,           0.0026227
                  84,             0.01347,           0.0058839,          0.00067672,             0.99356,             0.92287,             0.95651,             0.76804,            0.014251,           0.0040507,          0.00099969,            0.002557,            0.002557,            0.002557
                  85,            0.013043,           0.0062249,          0.00064227,             0.99653,             0.92681,             0.96292,             0.77483,            0.014528,           0.0040305,          0.00095169,           0.0024948,           0.0024948,           0.0024948
                  86,             0.01314,               0.006,          0.00066267,             0.99351,             0.92416,             0.97369,             0.77219,            0.014796,           0.0040905,          0.00090869,            0.002436,            0.002436,            0.002436
                  87,            0.013132,           0.0059889,          0.00063776,             0.98425,             0.93732,             0.97097,             0.77044,            0.014914,           0.0041015,          0.00085189,           0.0023807,           0.0023807,           0.0023807
                  88,            0.013213,           0.0056561,           0.0006742,              0.9817,             0.92415,             0.95913,             0.77195,            0.014679,           0.0041573,          0.00085402,            0.002329,            0.002329,            0.002329
                  89,            0.013568,           0.0056624,          0.00086743,             0.98919,             0.92046,             0.95779,              0.7689,            0.014757,           0.0041738,          0.00086269,           0.0022809,           0.0022809,           0.0022809
                  90,            0.013368,           0.0056456,          0.00075681,             0.98676,             0.92727,             0.98096,             0.78317,            0.014608,           0.0041623,          0.00099996,           0.0022365,           0.0022365,           0.0022365
                  91,            0.012575,           0.0054121,           0.0007009,             0.98997,             0.92018,             0.95599,             0.78309,            0.014142,           0.0041708,          0.00077506,           0.0021958,           0.0021958,           0.0021958
                  92,            0.012444,           0.0057513,          0.00064593,              0.9909,             0.92416,             0.97339,             0.80198,            0.013792,           0.0038757,          0.00065643,           0.0021588,           0.0021588,           0.0021588
                  93,            0.012585,           0.0058107,           0.0006165,             0.98872,             0.92416,             0.97126,             0.80107,             0.01407,            0.004022,          0.00085545,           0.0021257,           0.0021257,           0.0021257
                  94,            0.012531,            0.005646,          0.00060526,             0.99172,             0.92967,             0.96291,             0.79277,            0.014366,           0.0041349,          0.00078451,           0.0020963,           0.0020963,           0.0020963
                  95,            0.012802,           0.0057825,          0.00059422,             0.98727,             0.92323,             0.95674,              0.7936,            0.014454,           0.0041441,          0.00066349,           0.0020709,           0.0020709,           0.0020709
                  96,            0.012765,           0.0056087,          0.00067063,              0.9958,             0.92746,             0.96974,             0.78857,            0.013963,           0.0039962,          0.00066063,           0.0020492,           0.0020492,           0.0020492
                  97,            0.012295,           0.0055452,          0.00052134,             0.99221,             0.92871,             0.97479,             0.78166,            0.014286,           0.0038391,          0.00079456,           0.0020315,           0.0020315,           0.0020315
                  98,            0.012393,           0.0057813,          0.00053794,              0.9935,               0.927,             0.97278,             0.78556,            0.014522,           0.0040113,          0.00084287,           0.0020178,           0.0020178,           0.0020178
                  99,            0.012187,           0.0054842,          0.00055503,             0.99527,             0.92727,             0.96806,              0.7837,            0.014357,            0.004005,          0.00080758,           0.0020079,           0.0020079,           0.0020079
